,quantifier,C,class_weight,p_est,p_val,t_est,t_train,val_sample
0,ACC,0.001,,"[7.38655731e-18 5.51432492e-03 9.49934829e-18 2.39718689e-02
 1.56072576e-02 6.16230597e-02 3.30848978e-02 1.67314855e-02
 2.69845706e-02 4.97758787e-02 2.71818391e-02 7.83143850e-02
 2.80366408e-20 3.43853564e-18 8.14611032e-02 9.42452714e-02
 3.00506043e-02 2.79456255e-02 7.08040224e-02 7.92994576e-02
 1.64269141e-02 3.75390589e-02 1.71563322e-17 4.18062558e-02
 1.02386617e-18 1.06440483e-01 4.06135737e-02 3.45780623e-02]","[0.029 0.    0.01  0.025 0.016 0.125 0.059 0.025 0.006 0.025 0.002 0.078
 0.002 0.057 0.024 0.06  0.014 0.033 0.08  0.085 0.019 0.038 0.004 0.048
 0.    0.087 0.016 0.033]",0.10998821258544922,4.184912919998169,0
1,ACC,0.001,,"[8.50530405e-02 4.03955357e-02 6.66609540e-02 6.89725624e-02
 7.57549615e-02 1.43144348e-16 1.70640532e-02 2.83207192e-17
 5.01277169e-17 7.51955128e-03 6.79009705e-02 3.81633967e-02
 2.30056363e-04 8.81569012e-02 1.56604754e-17 1.46249473e-03
 1.24185385e-01 5.90196210e-02 4.99416471e-03 8.20592502e-19
 4.22042905e-02 2.21665688e-02 2.44455663e-02 8.92976985e-03
 8.05118629e-03 6.92218915e-02 1.20949663e-02 6.73521112e-02]","[0.036 0.022 0.025 0.068 0.079 0.02  0.01  0.    0.066 0.018 0.06  0.007
 0.042 0.083 0.084 0.011 0.001 0.065 0.003 0.004 0.045 0.024 0.048 0.013
 0.011 0.067 0.026 0.062]",0.11669588088989258,4.184912919998169,1
2,ACC,0.001,,"[3.45919841e-02 4.21035621e-02 3.23764858e-02 2.83044395e-02
 4.45684715e-02 1.45494849e-17 3.60359186e-02 7.55679213e-02
 2.89731599e-02 3.20985327e-02 4.18475341e-02 6.08141161e-02
 2.48838202e-02 2.34454940e-02 7.08400830e-02 3.74061479e-02
 4.82046450e-18 3.79177095e-02 4.11655662e-02 7.71571199e-03
 2.25612383e-02 2.09068166e-02 3.47119783e-02 9.49938287e-03
 3.20431243e-02 1.26513067e-01 1.82907210e-02 3.48170128e-02]","[0.04  0.038 0.037 0.038 0.048 0.019 0.042 0.101 0.022 0.027 0.009 0.085
 0.01  0.035 0.001 0.063 0.053 0.044 0.055 0.001 0.038 0.016 0.001 0.01
 0.027 0.087 0.02  0.033]",0.10700297355651855,4.184912919998169,2
3,ACC,0.001,,"[5.27518041e-02 9.28760803e-02 7.91467586e-17 1.01794937e-01
 1.34793435e-16 0.00000000e+00 2.19869977e-02 9.06287568e-02
 1.84989369e-02 2.58082261e-02 6.12344614e-02 7.26183990e-02
 4.11054185e-02 1.55962483e-16 1.25110550e-02 0.00000000e+00
 1.90879216e-02 1.53099975e-02 5.28567482e-03 1.43095267e-01
 0.00000000e+00 2.93124670e-02 7.33340312e-02 6.11218975e-18
 4.10564612e-02 7.53553004e-02 2.55225482e-03 3.79555223e-03]","[0.003 0.04  0.029 0.103 0.001 0.009 0.049 0.111 0.085 0.    0.016 0.052
 0.017 0.098 0.008 0.026 0.018 0.018 0.003 0.097 0.01  0.023 0.094 0.002
 0.048 0.035 0.002 0.003]",0.11573314666748047,4.184912919998169,3
4,ACC,0.001,,"[1.33538867e-02 7.01747059e-02 7.23126225e-03 4.75885636e-02
 2.16678313e-02 8.17877777e-02 3.26167616e-02 2.50775282e-02
 0.00000000e+00 5.51942838e-02 3.55753838e-20 2.90123523e-02
 1.19040145e-01 0.00000000e+00 0.00000000e+00 5.23800990e-03
 3.35657269e-02 3.61686777e-03 8.70845365e-02 2.18554342e-02
 1.33441288e-02 2.66196452e-02 4.11658012e-19 2.57517639e-02
 9.75977079e-02 1.13262477e-01 3.88488334e-02 3.04697706e-02]","[0.019 0.07  0.073 0.062 0.029 0.048 0.02  0.031 0.009 0.072 0.005 0.
 0.065 0.004 0.032 0.016 0.022 0.003 0.067 0.004 0.013 0.031 0.044 0.049
 0.063 0.081 0.037 0.031]",0.13532209396362305,4.184912919998169,4
5,ACC,0.001,,"[9.32928560e-02 2.65629532e-18 0.00000000e+00 1.65557323e-02
 2.23951761e-02 3.32313387e-15 1.70506181e-01 2.71840151e-02
 4.90544864e-03 4.97862927e-15 3.41563734e-03 1.00028640e-01
 1.06681521e-01 6.97135300e-03 0.00000000e+00 3.92423331e-02
 9.59495575e-02 0.00000000e+00 6.03311922e-03 1.36496055e-02
 3.64020879e-17 4.91528800e-02 0.00000000e+00 3.48872145e-02
 4.48497848e-02 0.00000000e+00 7.31778763e-02 9.11210682e-02]","[0.084 0.004 0.036 0.018 0.025 0.055 0.168 0.031 0.033 0.    0.    0.065
 0.058 0.006 0.006 0.005 0.023 0.002 0.005 0.004 0.021 0.038 0.08  0.027
 0.034 0.004 0.065 0.103]",0.10871195793151855,4.184912919998169,5
6,ACC,0.001,,"[0.03924016 0.00389041 0.00094538 0.00959655 0.01252776 0.03993222
 0.06003963 0.10538686 0.03459147 0.03633958 0.10243306 0.04319473
 0.01554092 0.02949618 0.01395871 0.13180863 0.05097167 0.00043416
 0.05421128 0.01789632 0.00975009 0.00568187 0.02346221 0.00273641
 0.03465226 0.04277331 0.06640529 0.01210286]","[0.044 0.089 0.028 0.014 0.001 0.028 0.022 0.123 0.024 0.077 0.048 0.028
 0.01  0.067 0.031 0.074 0.044 0.004 0.061 0.007 0.005 0.011 0.021 0.01
 0.027 0.025 0.065 0.012]",0.1161491870880127,4.184912919998169,6
7,ACC,0.001,,"[8.04810753e-03 1.73046365e-02 9.35847698e-02 1.42417809e-02
 7.56134691e-03 2.40957875e-02 6.86452152e-02 5.58901554e-02
 7.55070397e-03 5.25695923e-02 5.54325169e-02 4.02754571e-02
 9.88000175e-02 2.73428876e-02 2.27277825e-02 4.55902465e-02
 1.00225190e-02 5.42764796e-03 1.24512530e-02 6.25563417e-02
 6.84710270e-03 1.67763156e-02 2.60521578e-02 3.94803263e-18
 7.21538630e-02 2.94762969e-02 1.09839216e-02 1.07591577e-01]","[0.007 0.012 0.012 0.043 0.019 0.022 0.116 0.071 0.011 0.002 0.006 0.01
 0.168 0.084 0.02  0.027 0.004 0.004 0.013 0.066 0.    0.012 0.074 0.016
 0.052 0.001 0.011 0.117]",0.09735918045043945,4.184912919998169,7
8,ACC,0.001,,"[1.47189289e-02 1.85783020e-17 1.27259993e-16 3.69152019e-02
 2.79753707e-02 6.88571953e-18 5.05002183e-02 2.68661976e-02
 4.87592041e-17 2.00757204e-16 4.37617117e-02 3.49733670e-03
 3.76521477e-02 4.40277030e-02 2.06179408e-16 2.77737274e-02
 6.91902069e-02 3.92098200e-16 1.48079602e-02 0.00000000e+00
 1.28822934e-02 6.17284922e-02 1.40752794e-02 1.24111875e-01
 8.66197927e-02 1.30771745e-01 1.08002970e-01 6.41208410e-02]","[0.009 0.036 0.079 0.027 0.028 0.021 0.023 0.033 0.008 0.023 0.013 0.008
 0.002 0.004 0.    0.006 0.026 0.    0.009 0.007 0.022 0.076 0.004 0.176
 0.063 0.109 0.114 0.074]",0.10106706619262695,4.184912919998169,8
9,ACC,0.001,,"[4.46396743e-02 1.31723764e-02 4.20297748e-17 1.05401392e-16
 1.17166679e-16 2.02506774e-15 4.02950514e-16 1.50668178e-02
 5.25592414e-16 8.75488655e-02 5.94897248e-02 4.42061865e-02
 4.20783741e-02 8.49912859e-18 8.15799679e-02 5.52338052e-02
 1.38971821e-01 5.23182816e-02 1.16363949e-01 8.34866743e-03
 2.94953813e-17 8.61756261e-02 2.23884676e-02 5.19494660e-02
 9.28791221e-03 4.19419327e-03 3.09074367e-02 3.60783873e-02]","[0.04  0.029 0.003 0.013 0.    0.063 0.048 0.026 0.004 0.037 0.042 0.039
 0.056 0.008 0.02  0.028 0.128 0.048 0.104 0.003 0.007 0.093 0.016 0.084
 0.004 0.008 0.017 0.032]",0.12186384201049805,4.184912919998169,9
